project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
eco_sanctuary,Jul2017,979,1213,1188888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2017,775,1210,938000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2017,914,1048,958888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2017,1765,979,1728888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2017,667,1348,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2017,775,1270,985000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2017,979,1214,1190000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2017,979,1276,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2018,753,1294,975000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2018,979,1306,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2018,957,1010,968000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2018,667,1198,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2018,667,1216,812000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2018,667,1318,880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2018,699,1264,885000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2018,667,1330,888000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2018,979,1255,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2018,1603,977,1568000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,699,1222,855000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,699,1264,885000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,775,1252,970888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,753,1320,995000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,1162,1174,1365000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2018,1162,1195,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2018,775,1153,894000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2018,667,1423,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2018,667,1341,895000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2018,699,1272,890000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2018,1065,1022,1090000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2018,1162,1221,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2018,753,1260,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2019,731,1325,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2019,979,1204,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2019,775,1232,955000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2019,979,1306,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2019,667,1273,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2020,667,1330,888000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2020,775,1232,955000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2020,667,1375,918000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2020,731,1270,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2020,753,1244,938000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2020,731,1347,986000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2020,753,1260,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2020,1162,1126,1310000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2020,731,1270,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2020,775,1210,938000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2020,667,1303,870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,667,1311,875000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,699,1269,888000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,667,1353,903000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,699,1314,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,731,1325,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2020,990,1141,1130000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2020,775,1270,985000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2020,505,1363,690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2020,731,1240,908000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2020,699,1339,937000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2020,990,1267,1255000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2020,667,1240,828000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2020,1140,1279,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2020,505,1393,705000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2020,699,1214,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2020,667,1371,915000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2021,505,1379,698000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2021,667,1296,865000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2021,990,1282,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2021,1603,1097,1760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2021,775,1326,1028000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2021,957,1148,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2021,990,1216,1205000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2021,1367,1426,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2021,505,1344,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2021,699,1177,823888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2021,505,1363,690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2021,667,1303,870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2021,667,1420,948000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2021,753,1390,1048000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2021,979,1255,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2021,667,1281,855000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2021,699,1336,935000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2021,990,1302,1290000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2021,1140,1270,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2021,1140,1393,1590000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2021,699,1340,938000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2021,775,1339,1038000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2021,990,1442,1428000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2021,1367,1287,1760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2021,699,1389,972000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2021,731,1332,975000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2021,731,1359,995000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2021,775,1470,1139888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2021,667,1273,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2021,667,1360,908000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2021,667,1288,860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2021,699,1286,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2021,699,1317,921800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2021,731,1366,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2021,1022,1241,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2021,990,1358,1345000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2021,990,1421,1408000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2022,699,1329,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2022,990,1312,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2022,1140,1348,1538888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2022,1754,1339,2350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2022,775,1314,1018888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2022,775,1380,1070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2022,775,1408,1091888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2022,990,1454,1440000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2022,1216,1216,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2022,667,1348,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2022,990,1373,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2022,990,1494,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2022,990,1464,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2022,667,1413,943000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2022,775,1393,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2022,990,1373,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2022,1786,1220,2180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2022,731,1434,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2022,990,1514,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2022,1291,1261,1630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2022,667,1453,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2022,1162,1548,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2022,667,1438,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2022,667,1480,988000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2023,699,1484,1038888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2023,731,1502,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2023,990,1565,1550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2023,505,1577,798000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2023,1367,1433,1960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2023,505,1561,790000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2023,731,1475,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2023,731,1486,1088000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2023,753,1592,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2023,505,1571,795000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2023,667,1486,992000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2023,699,1643,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2023,990,1604,1588800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2023,699,1635,1144000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2023,1162,1445,1680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2023,1367,1609,2200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2023,990,1592,1576888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2023,667,1435,958000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2023,775,1612,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2023,667,1595,1065000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2023,667,1603,1070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2023,979,1531,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2023,1162,1462,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2023,1162,1531,1780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2024,667,1676,1118888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2024,775,1548,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2024,699,1565,1095000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2024,753,1585,1195000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2024,990,1615,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2024,1044,1398,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2024,979,1651,1618000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2024,667,1460,975000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2024,667,1511,1008888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2024,667,1678,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2024,731,1680,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2024,990,1731,1715000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2024,667,1618,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2024,1367,1616,2210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Sep2024,1603,1427,2290000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2024,667,1693,1130000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2024,979,1704,1670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2024,699,1669,1168000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2024,1140,1665,1900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2024,979,1715,1680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2024,1140,1735,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jan2025,667,1630,1088000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2025,667,1648,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2025,667,1685,1125000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Mar2025,699,1646,1152000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Apr2025,979,1735,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,May2025,667,1630,1088000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jun2025,731,1666,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Jul2025,731,1598,1170000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Aug2025,1442,1303,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Oct2025,990,1786,1768888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Nov2025,667,1558,1040000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Dec2025,990,1767,1750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eco_sanctuary,Feb2026,505,1630,825000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
